127.0.0.1, 2015-09-03 13:23:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000463
127.0.0.1, 2015-09-03 13:23:03, GET, /jupe_app/default/index, HTTP/1.1, 200, 0.101089
127.0.0.1, 2015-09-03 13:23:03, GET, /jupe_app/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000933
127.0.0.1, 2015-09-03 13:23:03, GET, /jupe_app/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.000505
127.0.0.1, 2015-09-03 13:23:03, GET, /jupe_app/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000721
127.0.0.1, 2015-09-03 13:23:03, GET, /jupe_app/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000608
127.0.0.1, 2015-09-03 13:23:03, GET, /jupe_app/static/js/jquery.js, HTTP/1.1, 200, 0.000605
127.0.0.1, 2015-09-03 13:23:03, GET, /jupe_app/static/css/calendar.css, HTTP/1.1, 200, 0.000612
127.0.0.1, 2015-09-03 13:23:03, GET, /jupe_app/static/js/calendar.js, HTTP/1.1, 200, 0.000641
127.0.0.1, 2015-09-03 13:23:03, GET, /jupe_app/static/js/web2py.js, HTTP/1.1, 200, 0.000602
127.0.0.1, 2015-09-03 13:23:03, GET, /jupe_app/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000603
127.0.0.1, 2015-09-03 13:23:03, GET, /jupe_app/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000607
127.0.0.1, 2015-09-03 13:23:03, GET, /jupe_app/static/js/share.js, HTTP/1.1, 200, 0.000620
127.0.0.1, 2015-09-03 13:23:03, GET, /jupe_app/static/images/background.jpg, HTTP/1.1, 200, 0.000644
127.0.0.1, 2015-09-03 13:23:03, GET, /jupe_app/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000391
127.0.0.1, 2015-09-03 13:23:03, GET, /jupe_app/static/images/facebook.png, HTTP/1.1, 200, 0.001491
127.0.0.1, 2015-09-03 13:23:03, GET, /jupe_app/static/images/gplus-32.png, HTTP/1.1, 200, 0.001130
127.0.0.1, 2015-09-03 13:23:03, GET, /jupe_app/static/images/twitter.png, HTTP/1.1, 200, 0.002347
127.0.0.1, 2015-09-03 13:23:03, GET, /jupe_app/static/images/favicon.ico, HTTP/1.1, 200, 0.000751
127.0.0.1, 2015-09-03 13:23:34, GET, /jupe_app/default/index, HTTP/1.1, 200, 0.030975
